Time:,53:43.6,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.050540546,10,8,273,114,0.098911623
0.042832446,10,6,300,97,0.088093052
0.020285541,4,8,118,45,0.0001
0.052466081,10,6,140,103,0.115913816
0.031477821,10,8,240,96,0.16946732
0.016905107,2,2,267,40,0.082061755
0.020925353,2,4,268,108,0.047427136
0.074022938,10,4,249,40,0.128778304
0.016009599,2,2,284,150,0.135926312
0.035584425,10,2,300,146,0.163303744
0.013471216,2,6,243,40,0.188195158
0.021486793,2,6,300,40,0.11476894
0.316707736,10,10,276,92,0.119728548
0.037403991,6,4,211,44,0.192031017
0.871110972,10,8,300,87,0.093286507
0.06182743,6,10,100,150,0.166952109
0.120158584,10,2,298,150,0.064419265
0.072656795,10,2,246,67,0.150861162
0.013279402,2,2,272,120,0.057782414
0.03648497,6,2,246,40,0.095144437
0.031090162,10,2,300,150,0.095118954
0.015214615,2,10,257,150,0.153544491
0.025503491,2,10,255,142,0.153686354
0.050657522,8,2,143,78,0.104123491
0.163592894,4,6,250,150,0.144930786
0.020679064,6,4,252,110,0.063209813
0.018782132,6,2,241,40,0.070916521
0.021718023,2,4,284,131,0.2
0.011912603,4,10,116,42,0.096206213
0.023338146,2,10,271,124,0.2
0.019928456,6,8,203,81,0.193801871
0.091748529,10,8,151,40,0.111629077
0.020452675,2,6,266,109,0.0001
0.014988303,2,6,259,47,0.053188618
0.183905646,6,10,256,100,0.057999579
0.033879064,6,6,293,150,0.138033647
0.020149082,6,4,261,145,0.0001
0.039785441,4,6,208,141,0.156401502
0.039595004,8,8,225,98,0.165115041
0.043217284,6,2,295,150,0.154416779
0.034627633,6,2,244,60,0.125090535
0.019643844,2,6,279,81,0.056835097
0.024021551,6,4,300,55,0.001109097
0.025308106,6,2,238,40,0.123329581
0.019464422,2,6,269,61,0.112703593
0.020361193,10,10,177,136,0.0001
0.020780757,10,8,130,115,0.0001
0.031769816,10,2,230,119,0.2
0.054120442,8,6,119,130,0.090654489
0.020951542,2,2,256,114,0.0001
0.019336666,2,4,121,144,0.2
0.020950256,2,6,285,63,0.0001
0.058987045,8,6,107,104,0.2
0.017277244,2,10,179,56,0.099390486
0.073937705,6,10,113,112,0.2
0.105376786,6,6,195,45,0.2
0.020479232,2,10,215,87,0.0001
0.026837707,6,4,121,128,0.182233698
0.589961792,10,8,225,128,0.097031706
0.040883934,6,2,300,150,0.151739471
0.02133633,4,4,211,76,0.2
0.06376163,4,4,121,42,0.046746941
0.017337993,6,6,100,92,0.158711682
0.131213318,10,6,163,150,0.106595766
