Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.021242147,0.001625901,0.036341634,0.004502649,8,4,529,200,0.000151925,
0.02125417,0.00196708,0.039343491,0.006506181,8,4,527,200,0.000152007,
0.021257573,0.001951674,0.041580476,0.011683595,8,4,510,200,0.000136297,
0.021257743,0.002209503,0.040341188,0.012123646,8,4,217,100,0.000236772,
0.021258608,0.003002685,0.037477926,0.002613892,8,4,225,100,0.000195473,
0.021299261,0.002490949,0.038492195,0.005646201,8,4,527,200,0.000156035,
0.021304203,0.001980515,0.041180594,0.014887521,8,4,525,200,0.000151554,
0.021321132,0.002037884,0.036531883,0.002403492,8,4,527,200,0.000152187,
0.021332162,0.002329534,0.035252523,0.002460055,8,4,525,200,0.000150267,
0.021332732,0.001874595,0.037005857,0.004980577,8,4,525,200,0.00015059,
0.021334631,0.001909141,0.036280977,0.004004357,8,4,525,200,0.000152082,
0.021337959,0.003065482,0.044106661,0.017488247,8,4,528,200,0.000152387,
0.021342376,0.00320553,0.040605368,0.008353867,8,4,218,100,0.000202573,
0.021349008,0.001205585,0.036204271,0.002191364,8,4,525,200,0.000150524,
0.021349673,0.001569187,0.035175737,0.002404529,8,4,527,200,0.000152511,
0.021354592,0.002076934,0.038269633,0.007081546,8,4,527,200,0.000151371,
0.021365133,0.001564275,0.040046952,0.010529853,8,4,527,200,0.00015204,
0.021366141,0.002101936,0.038062698,0.004818578,8,4,525,200,0.000148169,
0.02136973,0.001267894,0.036458068,0.00340607,8,4,525,200,0.000151328,
0.021388155,0.00143318,0.039485469,0.00705225,8,4,527,200,0.000151948,
0.02140139,0.00175006,0.037029488,0.005808244,8,4,527,200,0.000151752,
0.02141948,0.001833532,0.038925775,0.008522699,8,4,526,200,0.000151833,
0.021429846,0.001608099,0.033996755,0.002334019,8,4,527,200,0.000151939,
0.021430635,0.001615727,0.035808395,0.004228635,8,4,521,200,0.000164158,
0.021439098,0.001528256,0.037063478,0.003109364,8,4,528,200,0.000152189,
0.021451018,0.001409737,0.04197924,0.009467206,8,4,527,200,0.00015226,
0.021456701,0.001061506,0.035962418,0.002870355,8,4,527,200,0.000151762,
0.021478234,0.001401898,0.038035627,0.00867472,8,4,527,200,0.000151916,
0.021495193,0.002218213,0.037570881,0.004056055,8,4,527,200,0.000152124,
0.021501591,0.002388179,0.03815917,0.005095631,8,4,527,200,0.000151951,
0.021507739,0.001883363,0.040535667,0.006358278,8,4,528,200,0.000152203,
0.021508976,0.001925633,0.037215396,0.006437673,8,4,528,200,0.00015244,
0.021508993,0.001272664,0.03584299,0.003187062,8,4,528,200,0.000152549,
0.021509151,0.001238749,0.037799834,0.003828454,8,4,527,200,0.000151961,
0.021511604,0.002852131,0.03886715,0.005296476,8,4,222,100,0.000203089,
