Time:,27:13.4,Samples,4,Size:,250,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.036750321,0.000920499,0.666886628,0.201777116,1,101,270,0.02,,
0.036816039,0.003029572,0.331194952,0.010960237,26,90,500,0.012327179,,
0.036934984,0.006508962,0.24985072,0.003101585,22,41,1,0.000470107,,
0.037352746,0.009767874,0.264946885,0.006539741,6,92,1,0.000256685,,
0.037428286,0.005701613,0.952635482,0.435559484,5,126,291,0.001182303,,
0.037452628,0.007405602,0.314151824,0.014465261,8,75,207,0.008758687,,
0.037491568,0.002042009,0.965967,0.628739798,1,97,500,0.02,,
0.037517092,0.001357632,0.452734016,0.019862984,1,160,1,0.000193849,,
0.037561993,0.001971205,0.515315868,0.074809872,1,200,481,0.02,,
0.037565167,0.004025986,0.269531086,0.010787263,7,187,1,0.0001,,
0.037903685,0.007705488,0.823344678,0.413256529,6,47,48,0.000142333,,
0.037978423,0.003414165,0.300712615,0.018940073,13,176,500,0.0062649,,
0.038003356,0.006869316,0.865703709,0.39690069,7,25,53,0.000223293,,
0.038009749,0.00957304,0.261865832,0.001315614,23,120,16,0.000636402,,
0.038339628,0.002355141,0.987824559,0.410075507,1,177,354,0.005130718,,
0.038357385,0.003345648,0.243838225,0.001879773,30,164,1,0.0001,,
0.038608384,0.001674344,1.803637765,1.693714196,1,140,184,0.001851786,,
0.039575204,0.003554552,0.258925073,0.00829384,12,63,1,0.00026152,,
0.039995978,0.001776448,0.45560652,0.006541358,1,1,1,0.02,,
0.040057445,0.001503676,0.290917069,0.01098565,23,63,252,0.02,,
0.040097603,0.004297326,0.287619494,0.0106944,30,142,86,0.00216817,,
0.040246411,0.003960333,0.718225464,0.268671926,14,1,66,0.011550676,,
0.040278549,0.00645566,1.089161806,0.894861768,1,200,317,0.002581869,,
0.040556223,0.007086754,0.261013106,0.016261353,30,200,201,0.002848464,,
0.04115475,0.002112881,0.29928153,0.019584695,28,110,167,0.003019878,,
0.041728834,0.006776209,0.961005136,0.248097818,20,1,204,0.02,,
0.041925572,0.004803008,1.063618094,0.241580081,7,1,54,0.02,,
0.04194254,0.011652952,0.301704101,0.024002296,6,113,407,0.02,,
0.043573419,0.008550108,0.230238784,0.005443353,13,34,1,0.00116809,,
0.043645756,0.004870851,0.840634391,0.131347045,17,1,500,0.02,,
0.043706731,0.012857658,1.044914439,0.501285072,30,88,500,0.0001,,
0.043839562,0.011925867,0.289319403,0.012721905,15,88,285,0.016993938,,
0.044034523,0.003775378,0.772821769,0.096514848,27,1,217,0.02,,
0.044083484,0.0075779,0.299658537,0.014606443,10,39,161,0.02,,
0.04412584,0.014857175,1.264910981,0.497678186,11,163,324,0.000128567,,
0.044957512,0.006211841,0.241241951,0.003757512,19,84,8,0.000893573,,
0.045560491,0.007283427,0.255010061,0.007659772,5,29,1,0.00169675,,
0.045911863,0.008603359,1.038318008,0.163206483,30,1,500,0.006987146,,
0.046040169,0.006401793,0.235725034,0.004348363,13,104,1,0.00029555,,
0.046718798,0.011414936,0.278074212,0.01241216,30,65,179,0.02,,
0.046999547,0.011999128,0.279689968,0.015792014,30,138,465,0.01296026,,
0.049275363,0.01693781,0.263663843,0.009706032,21,144,500,0.02,,
0.049851239,0.010666092,0.260288235,0.022185106,4,184,5,0.000765347,,
0.049938093,0.010758508,0.257875763,0.006570116,14,185,465,0.017750627,,
0.050201603,0.013369741,0.19973908,0.003482655,30,86,1,0.00107486,,
0.050922084,0.011416917,0.223725509,0.003666872,17,154,1,0.000190075,,
0.053189607,0.011106529,0.196504418,0.003753626,13,150,1,0.000913146,,
