Time:,25:42.5,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.028136303,0.004801346,0.389675538,0.043415231,15,119,546,0.004953114,,
0.028155004,0.004930401,0.433734184,0.075651064,5,120,360,0.003441911,,
0.028180067,0.003250646,0.375662376,0.030285741,20,92,197,0.001610778,,
0.028219071,0.002643089,0.35623052,0.016320045,26,46,201,0.004512764,,
0.028294493,0.004343803,0.452808097,0.110000797,9,200,558,0.00215435,,
0.028327263,0.002514585,0.347357782,0.021284217,23,92,48,0.000721758,,
0.028346242,0.003061593,0.378316907,0.038250855,25,93,90,0.000840977,,
0.028375163,0.006094622,0.396006425,0.055216652,19,89,600,0.005147287,,
0.02839065,0.004427615,0.450780859,0.090133562,9,152,400,0.001607169,,
0.028441246,0.002442521,0.425793027,0.00977556,30,1,1,0.003441583,,
0.028464821,0.002346573,0.408914613,0.047504197,20,199,311,0.000848638,,
0.028546944,0.002066576,0.386062585,0.010536397,16,6,1,0.000519704,,
0.028565785,0.003594776,0.449801691,0.055131438,8,145,423,0.001922847,,
0.028577102,0.004208393,0.409129771,0.030623126,25,43,191,0.004410351,,
0.028587344,0.004413854,0.398013199,0.038405988,27,200,296,0.000807495,,
0.028642924,0.005041733,0.370424057,0.052198204,16,154,600,0.003463633,,
0.028699014,0.003580396,0.396404204,0.014335711,15,8,1,0.000344411,,
0.028779294,0.003697966,0.344405887,0.02400733,24,104,101,0.001046147,,
0.028792282,0.00145185,0.39789018,0.011651622,18,7,1,0.000326856,,
0.028807199,0.002956982,0.384066477,0.041074791,22,57,233,0.003376235,,
0.02883455,0.005831184,0.454738955,0.086987695,7,156,295,0.001433376,,
0.028865137,0.005172482,0.380133254,0.043801613,17,102,600,0.006537698,,
0.028895962,0.007907884,0.361026992,0.024631412,7,1,1,0.02,,
0.028963157,0.004029702,0.453308702,0.079834378,10,158,500,0.002434546,,
0.029053086,0.005214372,0.399536135,0.053620917,13,132,340,0.002038762,,
