Time:,14:25:42.474962,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate
0.08870457905210409,0.04649481919141867,1.1772692054510117,0.6312940891474649,29,10,550,0.00023211483258245272
0.032946963239443114,0.003077321403796008,0.30688752979040146,0.01360935695352251,28,153,33,0.00038428147777035934
0.043940048868790854,0.006726033666972249,0.22660091271003088,0.00674077890351896,28,168,95,0.003885940793576492
0.037972245197154926,0.005382655086247819,0.30417204399903613,0.035935529795605506,12,188,368,0.004066538802605202
0.05998784236123447,0.03190811509255303,0.2223056877652804,0.006599586008600138,16,143,81,0.008079737652734871
0.028327263077395557,0.0025145847200407673,0.3473577822248141,0.021284216799057176,23,92,48,0.0007217576615726729
0.03088193005659783,0.0038842547576225343,0.3363922064503034,0.025205948300455944,28,84,141,0.0020763700876495054
0.03368334468670895,0.001795633788140801,0.7327516227960587,0.27023960954003945,18,84,376,0.000321410606351311
0.026003334410261345,0.004116060857992805,0.3764631152153015,0.03789507312752031,19,96,585,0.006007045084123213
0.14418531454641567,0.12499670647977709,2.4765612135330834,2.023132180630368,2,45,73,0.00025311081157219456
0.02905308606530448,0.005214371687465964,0.3995361352960269,0.05362091694783427,13,132,340,0.0020387621213626564
0.03472582235481731,0.00390655538269742,0.788082609574,0.26737088369444184,20,74,571,0.0002836447653754661
0.028032041670531787,0.003082564348877081,0.4054901897907257,0.02993023301163803,26,192,229,0.0005774230672374153
0.026961568607047095,0.00480455618364543,0.4621306161085765,0.09672097037310849,9,133,110,0.0007362545007537877
0.09760378199934526,0.0771363131450248,2.5417487422625222,1.780877875255715,1,68,241,0.0011909705760463822
0.02846482101022491,0.002346572725389845,0.40891461322704953,0.04750419747767036,20,199,311,0.000848637651390258
0.4332653094440171,0.23693242700062642,4.59444522857666,2.3515476811899836,3,10,377,0.0001043675905554963
0.12942629523996382,0.0686153559068128,1.4337478429079056,0.6945651834525348,13,2,255,0.0006835559579093636
0.04083812349686116,0.0072762570786778875,0.24068023761113486,0.004952154117906103,19,84,9,0.000893572540230821
0.035692088951600635,0.005806974179297891,0.8087680240472158,0.59586994780801,7,106,468,0.0015867562387692406
0.03489284152720609,0.0015051399738771675,0.5112985968589783,0.0774903205690813,16,14,246,0.0041508300815723065
0.03452255595057228,0.004653425999333922,0.30511074016491574,0.016222676276125277,28,110,200,0.0030198776704101747
0.03541215110572446,0.0010471746533679501,0.48025649040937424,0.02751906004936689,29,44,543,0.0016455482578720184
0.0333390428067721,0.002032282507322918,0.49346063534418744,0.060620197587305254,23,105,357,0.0007132944246863715
0.2961263200701912,0.3752190870051618,3.084990367293358,3.3578131275408705,3,106,456,0.00010987729389514493
0.04501172493501851,0.007823063849989148,0.22717771803339323,0.012003215865898524,6,89,1,0.0010796653142646723
0.0349288121793751,0.0016594673827184314,0.5960322345296541,0.1574374370666081,16,200,276,0.00011829367319393454
0.03261474386550444,0.0036648696334400715,0.8538770079612732,0.558820490160478,3,146,267,0.0014512615116498415
0.05583994809838532,0.012050012847753755,0.21048318843046823,0.006059030964935279,11,200,1,0.00032555371987743654
0.035328898725351526,0.00524654355942236,0.2820904453595479,0.005636419094338881,16,44,1,0.0002326928646913119
0.03438253920967039,0.0015504580168997383,0.5355174591143926,0.10955679783167063,16,165,359,0.0002971558683427989
0.04014265419799684,0.003380162911682675,0.2563377569119136,0.003129527719282773,30,42,1,0.00039826242070190347
0.03656334983354142,0.0007243065758875108,0.5498203014334043,0.13511808469535996,1,200,600,0.02
0.025489312019064667,0.004809244708580111,0.43339305371046066,0.0915557582238083,6,158,368,0.0027429263030929324
0.04396359070016186,0.010934227296948538,1.1594144304593403,0.33123878723399053,30,1,600,0.02
0.03709826209818028,0.003748025475023239,0.2708195572098096,0.006197805212242086,19,119,1,0.0001
0.029457865697595956,0.0033981742780817884,0.42517197628815967,0.059572397837395874,15,184,600,0.0012954555243703276
0.029991751785893177,0.004220601691745436,0.4514763404925664,0.058530813296565586,7,155,300,0.0019187642726334597
0.033971116528389945,0.002458240351627578,0.5615413511792818,0.09251710097425894,16,160,336,0.00023475666871940627
0.03374686948270287,0.0032298005107019934,0.5095320989688238,0.0652700797894489,7,141,276,0.0007001393665525863
0.02443786593031931,0.004483510780036251,0.3804178883632024,0.032072409853968274,11,1,1,0.00946905753872924
0.030531565992285726,0.006326643050137687,0.32797621190547943,0.03760741414257516,10,141,600,0.00728563057199515
0.03252849071299583,0.003948910911886125,0.44023144245147705,0.03589731669900163,22,140,589,0.0013029824697682975
0.02961529389716129,0.0037795257640947616,0.4799746001760165,0.08926130876464142,7,155,344,0.0016300163176395878
0.04655036976630187,0.005390134047331137,0.23073342566688856,0.007241263366262192,10,37,1,0.0012911187536742018
0.03451299750694383,0.0014498973243754886,0.5588280508915583,0.12378741078037131,20,137,403,0.00026194450473201097
0.03274623255120125,0.002799407328393437,0.4454638833800952,0.026975709683763328,24,50,431,0.004973602596940683
0.03101736365541355,0.003929642127142225,0.4157331958413124,0.049822304238462886,30,200,466,0.0011494018750234569
0.02883454954877347,0.005831183713268314,0.4547389547030131,0.08698769527641419,7,156,295,0.0014333763866559049
0.02889596244296813,0.007907883718080185,0.36102699240048725,0.024631412288945644,7,1,1,0.02
0.032654738259196625,0.0019820682177255937,0.6416526387135187,0.21067674454829888,14,167,284,0.00022338195477981053
0.02463251338497269,0.005292191072549223,0.3708443318804105,0.01636623702880096,10,1,1,0.008850828293332445
0.028441246071210263,0.002442520947027844,0.42579302688439685,0.0097755602566161,30,1,1,0.0034415826817219327
0.045311543282866,0.006827287140724141,1.429164116581281,0.6420342772672488,17,1,600,0.02
0.028963157109466467,0.004029702332817406,0.45330870151519775,0.07983437785411708,10,158,500,0.0024345463038682675
0.041926177969656926,0.0056009391072904995,0.24195064480106035,0.005272137592428055,13,108,1,0.00021834738498050033
0.029994007285031894,0.0035578422924124518,0.5209260930617651,0.16121991477855685,6,153,244,0.0012443132951886196
0.049059788006381944,0.016540989268792643,1.1904346694548924,0.8769604769264918,16,1,223,0.012341349833197922
0.04614691669138149,0.021168288808124273,0.9378859847784042,0.5581156303812826,13,200,451,0.00013108218972205057
0.04185757505377049,0.007433268429875699,0.23594385261336961,0.006450217615442532,9,22,1,0.006339991290373117
0.028136303273948327,0.0048013456867185235,0.3896755377451579,0.043415230624391656,15,119,546,0.004953113866449068
0.03015121681342292,0.004511505171968328,0.4949905773003896,0.0605960791199829,6,157,289,0.0013493638321185216
0.030802673199101238,0.003601135834822338,0.482696774105231,0.07892999181971033,10,87,143,0.000712119015534924
0.0264712139820784,0.006699462181060763,0.4264178176720937,0.08857019381037347,3,110,402,0.02
0.03773183106791374,0.0018397500675249147,0.4685847883423169,0.0446933204353292,1,200,92,0.02
0.028390649722776298,0.00442761479177327,0.45078085859616596,0.0901335615620854,9,152,400,0.0016071686740601557
0.03528749331702307,0.0018757756064665758,0.719888632496198,0.32308981780388896,14,171,231,0.0001
0.03696518155769049,0.0035746683293526515,0.2368299961090088,0.0043523014665944985,30,200,1,0.0001
0.032212002515611605,0.0022101173620444688,0.43133019655942917,0.00894726182158876,26,1,1,0.002475335130307113
0.03429316887729993,0.00165733526578351,0.5482862939437231,0.11183060150527406,24,94,600,0.0003424904314805529
0.031223898594144057,0.009032076506646131,0.37519914905230206,0.03277719876167395,12,64,600,0.011976206261526115
0.03599215356983284,0.0019529058765434212,0.5568454538782438,0.12348712000227094,30,200,470,0.0001
0.030780670516096172,0.0027178134932239486,0.4228210399548213,0.021339091885733106,30,36,306,0.004459950092666018
0.0332579097517432,0.0013444395701356338,0.6582104340195656,0.2653400114269143,21,121,456,0.0003101669239441788
0.03696757633945366,0.009427091927777232,0.3014274413386981,0.036101589590183975,23,200,600,0.0050584464047657264
0.03270707316723291,0.0029681210111163685,0.4947361449400584,0.056067728323706316,7,147,287,0.001042629174995956
0.02753415244839115,0.004758442378674503,0.3969756066799164,0.038388563192125254,15,99,477,0.005314387685722111
0.0297195172300932,0.00409302798140493,0.5070693343877792,0.17455096387091978,8,150,454,0.002335590595541375
0.03633259898751573,0.007973380730845256,0.30402231713136035,0.04559032282110086,5,151,412,0.02
0.038474978905646585,0.0034176975806827006,1.4155892183383305,0.7915181103270484,1,200,435,0.004613494992324539
0.03848798151864694,0.0025775682401059322,0.4951300372680028,0.05665964654038923,1,1,1,0.02
0.026990562638292703,0.003429271669954451,0.3751040498415629,0.02305608517871563,30,200,232,0.0006065147908590978
0.027657249418326504,0.004383604101990795,0.3986255998412768,0.04620178792359729,15,92,471,0.00578686544782754
0.038229927765026255,0.004497199759409326,0.2539866045117378,0.006553632410995948,12,42,1,0.0004514918071803034
0.030164152162935155,0.0034976817931254528,0.42120765894651413,0.03582865734416457,30,73,600,0.004486974853071254
0.026565200675641307,0.003665499652803217,0.36559872329235077,0.027685075151292166,25,200,336,0.0010529245704673734
0.027099172569337915,0.0032117548150982734,0.3928520704309146,0.04534589875009276,26,200,312,0.0009203016604164469
0.033982816938348065,0.002473042031728459,0.5230539043744405,0.07445587057425063,21,1,1,0.00015901193110883264
0.03178938970184487,0.005102440953468992,0.5168524583180746,0.12759552058266035,4,135,109,0.0006849740933356594
0.03139450173664576,0.0034684302078683564,0.45051972568035126,0.04705848875063087,14,46,340,0.005441531820440736
0.03047915968950161,0.002659388009535968,0.42889780302842456,0.02585948069820109,27,16,105,0.00446754389162243
0.028012751430025958,0.0051252903435612005,0.4532170419891675,0.08873953590255926,5,169,398,0.0032259996732390958
0.029535674030942424,0.003580885879122603,0.4059101591507594,0.05778732786611697,13,177,423,0.001348890358707396
0.048643684915051555,0.02835762899375756,0.4709545398751895,0.061896918687533775,30,1,1,0.02
0.036543066845328084,0.0005103222880738311,0.6046747912963232,0.2042644870678188,1,115,183,0.02
0.03459357324646941,0.009073978820358581,0.3378211384018262,0.03796476566054167,6,79,349,0.02
0.03434185940565295,0.0015042710411000955,0.5500663568576177,0.09998312236315383,22,64,172,0.0003098159198489543
0.04341555524700031,0.007684245444565698,0.24577600012222925,0.007102062978790497,7,40,1,0.0009199016520940166
0.03823095917024281,0.003603048423145835,0.646791510283947,0.3132619012754515,21,110,347,0.0001
0.028565784933485484,0.003594775932109356,0.4498016908764839,0.05513143836114824,8,145,423,0.0019228468400799784
0.03336552298436626,0.002311829637044764,0.725501075387001,0.3325208838860094,13,161,255,0.00019520672293483592
