Time:,3:22:29.182472,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.02528742338410758,0.007852394981155444,0.03423446766100824,0.00208552045954169,2,10,268,500,0.00238201157494385
0.029097320861831425,0.008892117909921358,0.03543067828286439,0.0033462536280207734,2,10,259,500,0.0024260928988430845
0.023410769795262028,0.008244098916417687,0.034533532336354256,0.003328953194950994,2,10,243,442,0.0023128175514480005
0.03186918092468852,0.009964825683825472,0.03709369862917811,0.00585492283977459,2,4,238,500,0.0020815418528904095
0.029902707097094132,0.003058371816437809,0.04675608524121344,0.009085191547193455,4,10,100,500,0.0006393835509374493
0.024542610810161965,0.004419123277443773,0.04051017947494984,0.009133882260254,4,2,316,59,0.00017500727668600584
0.02898255019781068,0.004326613601491434,0.04743873979896307,0.015576096094834752,4,4,800,500,0.00014345023204042793
0.02726485930021887,0.005162120045023623,0.042837520595639944,0.011049480557134343,4,4,739,500,0.0001819930094434916
0.0232925773710686,0.005048071466812994,0.03955203271470964,0.00560661336424928,4,4,745,500,0.00018367932156724978
0.025467733068962793,0.004963519807118384,0.042877886444330215,0.009537101307020335,4,4,734,500,0.00019158448744497313
0.02795960988879234,0.005014535469538395,0.04811101267114282,0.013557911499398879,4,4,735,500,0.00019392245666302536
0.02388438990069044,0.004041117081518754,0.04216872970573604,0.006854353159381719,4,4,743,500,0.00019069153012929988
0.025787014956313102,0.004672711626228621,0.042879251297563314,0.009495451498311831,4,4,744,500,0.0001942837806763391
0.032080210021038745,0.005811918955312237,0.03477964212652296,0.009110859958030222,8,2,435,50,0.0001475223490630012
0.03159748656790597,0.001224638508627036,0.08354520448483527,0.07696493727741417,8,2,100,140,0.00014248704057271533
0.025862348193989942,0.004669950040804972,0.03886304539628327,0.006276196786863141,4,4,785,500,0.00018685450903771993
0.023583478508744066,0.0048074186988469325,0.040949317160993814,0.007332302153649536,4,4,790,500,0.00018696999252209583
0.02343690005127392,0.003539207643140926,0.047013105591759086,0.013181552398212244,4,4,800,500,0.00018909886595215141
0.024941233535391877,0.005914766871027366,0.0428105175960809,0.010525742067833325,4,4,800,500,0.0001922902527018422
0.024648459272753918,0.004666631028721706,0.04814278776757419,0.011188690526894097,4,4,800,500,0.00018988401390119156
0.023723303010262226,0.004217820467156859,0.038952969713136554,0.004432627541279533,4,4,800,500,0.0001900404810000737
0.02499616516999091,0.004009815184401825,0.04004622437059879,0.011179271613945831,6,4,800,500,0.0001912976473783105
0.0241720854021782,0.003925361252245622,0.03541132854297757,0.003425620578577437,4,4,245,50,0.00020692674728863895
0.023509338293005947,0.0035548936794571632,0.035170411225408316,0.002870709986869217,4,4,242,50,0.00020692151694331424
0.022544553381991822,0.0023246757843123564,0.03441208740696311,0.002228233436035297,4,4,238,50,0.0002079027403959509
0.023761693274498223,0.003872615234721444,0.03593522578012198,0.0050268997994820245,4,4,237,50,0.00020739738134843493
0.022623301191170134,0.003160068080935246,0.035060693975538015,0.0017719023957583954,4,4,238,50,0.0002076887664921005
0.029190139318788097,0.004278808902055745,0.03227626939769834,0.004926801077732034,8,4,240,50,0.00020725094033945102
0.030651312029954608,0.0007866659166858332,0.0540087481494993,0.02015317634513794,4,4,158,50,0.0001
0.023421782361211677,0.0034640456587873144,0.03689385554753244,0.004389375068632101,4,4,436,50,0.00010508920438618045
0.024125919888596966,0.004721799059878964,0.04159641359001398,0.0052861765865462595,4,4,407,108,0.0001046210581362464
0.022325640518165907,0.004369084969989124,0.03643976664170623,0.002548464741336141,4,4,403,50,0.00010293525492554164
0.023339729622416254,0.003940974604068525,0.038429014617577195,0.004262214019515095,4,4,386,50,0.00010009081114724829
0.024877129891173008,0.005693306916392485,0.03951317095197737,0.006823886783885618,4,4,385,50,0.0001
0.02272236399689961,0.003998465478095078,0.03658876335248351,0.0037229490204009784,4,4,396,50,0.00010367959306434505
0.02095874320874103,0.001971234820190123,0.034948288230225444,0.0023660368479896114,4,4,399,50,0.00010335255154161348
0.022080621064090783,0.003267569052231744,0.03730663820169866,0.0036666919311009122,4,4,400,50,0.00010323235054472122
0.02256301066225508,0.0037924757711924324,0.036251767771318555,0.00290084508959838,4,4,402,50,0.00010598126685965442
0.021747070725956018,0.0024455775040429046,0.03794926218688488,0.004588400475975892,4,4,401,50,0.00010426048055227803
