Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.021652146,0.002382736,0.035953454,0.002125308,8,4,192,20,0.0001,
0.021662501,0.003265072,0.035330361,0.001702305,8,4,190,20,0.0001,
0.021667947,0.001522417,0.035817522,0.002252419,8,6,191,20,0.0001,
0.021674202,0.002021035,0.039285842,0.004257367,8,4,191,20,0.0001,
0.021736977,0.002247743,0.033973503,0.001869478,8,8,192,20,0.0001,
0.021792469,0.001447244,0.038562191,0.010363649,8,2,240,20,0.0001,
0.021852441,0.003664124,0.037905909,0.00517792,10,2,197,20,0.0001,
0.02187986,0.001994337,0.035075033,0.002415342,8,4,198,20,0.0001,
0.021883384,0.002185045,0.035277794,0.003555611,8,2,238,20,0.0001,
0.021913766,0.002397764,0.036587796,0.009723539,4,2,333,20,0.0001,
0.021922915,0.004108294,0.038124058,0.002732867,8,2,190,20,0.0001,
0.02195628,0.002764772,0.044721183,0.00964376,8,2,340,55,0.0001,
0.021972913,0.003083209,0.036893132,0.005059656,8,2,249,20,0.0001,
0.021986905,0.004009503,0.039802857,0.006149541,8,2,195,20,0.0001,
0.022033382,0.002566844,0.034577175,0.001949154,8,4,198,20,0.0001,
0.022133821,0.003496143,0.036510039,0.002759903,8,4,191,20,0.0001,
0.022197847,0.003143599,0.039544811,0.010321247,8,2,262,20,0.0001,
0.022278267,0.003563927,0.035175767,0.002973626,8,6,187,20,0.0001,
0.022289306,0.001864019,0.034154882,0.004175808,8,2,240,20,0.0001,
0.022492137,0.002995509,0.037328884,0.002552302,8,4,182,20,0.0001,
0.022492516,0.001853864,0.034728451,0.002386433,8,2,243,20,0.0001,
0.022551438,0.002016403,0.037474399,0.006720743,8,2,242,20,0.0001,
0.022732717,0.002612293,0.037109033,0.003716675,8,2,239,20,0.0001,
0.022799937,0.002568264,0.034520166,0.002866922,8,2,233,20,0.0001,
0.022856811,0.003694747,0.036513455,0.002659554,8,2,238,22,0.0001,
0.022974096,0.003731403,0.046980628,0.013401227,8,2,355,66,0.0001,
0.022984658,0.003067853,0.033801971,0.003224943,4,2,396,20,0.0001,
0.023051208,0.008254275,0.032496846,0.001421973,2,6,215,39,0.000568963,
0.023052764,0.002982226,0.036459478,0.005336442,8,2,242,20,0.0001,
0.02307879,0.002586952,0.038797573,0.008062468,8,2,229,114,0.000301761,
0.02323792,0.002762654,0.035194129,0.002741346,4,8,236,600,0.000682466,
0.023380532,0.002320135,0.03387576,0.002861474,8,2,242,20,0.0001,
0.023568156,0.004715681,0.038549349,0.003916974,4,8,210,600,0.000882728,
0.023600192,0.004767307,0.042113581,0.00957478,8,2,354,64,0.0001,
0.023622059,0.003153699,0.040430477,0.005783806,8,4,195,38,0.0001,
