Time:,57:04.9,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,,,
0.071250817,10,2,62,86,0.011755505,,,,,,
0.071657807,6,4,212,206,0.054250409,,,,,,
0.072121,6,10,367,59,0.070214753,,,,,,
0.072166087,10,2,108,137,0.018433072,,,,,,
0.07275314,6,2,186,82,0.052830535,,,,,,
0.074074087,2,6,201,91,0.099359169,,,,,,
0.074355892,2,10,395,103,0.058844944,,,,,,
0.074418687,2,8,330,221,0.02962836,,,,,,
0.075179075,6,4,342,31,0.094465548,,,,,,
0.076011941,2,8,374,66,0.029965788,,,,,,
0.076534451,8,10,79,246,0.060797595,,,,,,
0.077737204,8,8,309,53,0.021172577,,,,,,
0.077825821,10,6,230,25,0.09554372,,,,,,
0.079650267,4,6,145,142,0.025149099,,,,,,
0.079806046,10,4,158,234,0.071644136,,,,,,
0.08157365,6,4,343,294,0.006196613,,,,,,
0.081656366,6,8,208,200,0.078442116,,,,,,
0.081787389,10,8,211,52,0.043832962,,,,,,
0.082717459,8,4,400,87,0.021326502,,,,,,
0.083222552,4,8,295,196,0.025605006,,,,,,
0.083462609,6,4,282,186,0.073956906,,,,,,
0.083612019,4,8,274,231,0.065256152,,,,,,
0.08643057,4,8,240,133,0.048605879,,,,,,
0.086567505,10,6,105,153,0.045941973,,,,,,
0.087138663,8,4,113,52,0.1,,,,,,
0.087740402,8,10,275,112,0.038221,,,,,,
0.088856558,4,4,184,182,0.071726869,,,,,,
0.089151886,6,2,45,197,0.054570278,,,,,,
0.090102055,8,10,191,229,0.019160009,,,,,,
0.091089651,6,10,166,124,0.02260199,,,,,,
0.092328133,8,4,133,34,0.011330322,,,,,,
0.093787253,6,8,222,196,0.066621362,,,,,,
0.096273175,10,6,202,197,0.033474367,,,,,,
0.097030248,8,8,260,68,0.007443501,,,,,,
0.097470206,10,10,380,263,0.094690274,,,,,,
0.097769112,10,6,324,135,0.069248004,,,,,,
0.099419079,6,8,389,211,0.080641924,,,,,,
0.105809149,8,10,135,199,0.047936949,,,,,,
0.107284111,6,2,400,251,0.060014572,,,,,,
0.126682227,10,10,211,222,0.00594348,,,,,,
0.141904509,10,8,373,175,0.005542947,,,,,,
0.180293701,8,10,370,290,0.061296612,,,,,,
0.296419308,6,10,224,205,0.059476016,,,,,,
0.324384289,10,6,143,64,0.070520346,,,,,,
0.647568542,4,6,181,28,0.021366083,,,,,,
0.941491593,10,10,351,1,0.011811971,,,,,,
0.065201977,6,4,214,70,0.082480036,,,,,,
0.065201977,,4.179320886,,,,,,,,,
