Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.032172565,4,4,350,250,0.04,,,,,
0.032174832,8,4,200,10,0.0002,,,,,
0.032201154,4,2,150,150,0.04,,,,,
0.032209669,10,2,25,250,0.01,,,,,
0.03223104,8,2,50,150,0.02,,,,,
0.032244673,6,4,25,300,0.04,,,,,
0.032247587,4,2,10,200,0.02,,,,,
0.032255953,8,4,10,25,0.002,,,,,
0.032262506,6,4,10,200,0.02,,,,,
0.032280165,10,4,25,50,0.01,,,,,
0.032287298,4,4,250,25,0.01,,,,,
0.032297646,6,4,400,1,0.0001,,,,,
0.032299614,4,4,100,200,0.02,,,,,
0.032305362,8,2,250,200,0.0004,,,,,
0.032319772,4,4,350,10,0.004,,,,,
0.03235084,2,2,250,300,0.02,,,,,
0.032360953,4,4,350,200,0.04,,,,,
0.032360985,4,4,100,250,0.001,,,,,
0.032382206,6,2,200,80,0.0002,,,,,
0.032400548,8,4,100,10,0.001,,,,,
0.032401661,10,2,150,80,0.0002,,,,,
0.032406851,6,2,300,1,0.0001,,,,,
0.032414544,6,4,10,1,0.001,,,,,
0.032417282,8,2,100,25,0.04,,,,,
0.032429456,4,4,100,100,0.1,,,,,
0.032432821,4,4,350,50,0.02,,,,,
0.03243624,6,4,100,1,0.001,,,,,
0.032491416,6,2,300,25,0.002,,,,,
0.032492138,8,4,10,100,0.1,,,,,
0.032505161,10,4,10,50,0.004,,,,,
0.032507237,8,2,250,300,0.002,,,,,
0.032514487,6,4,150,10,0.0002,,,,,
0.032522617,6,4,50,50,0.001,,,,,
0.032529207,6,2,10,200,0.01,,,,,
0.032531862,6,2,50,200,0.002,,,,,
0.032537243,4,4,200,150,0.02,,,,,
0.032545321,6,2,10,100,0.04,,,,,
0.032549319,10,2,400,10,0.0001,,,,,
0.032551815,4,4,400,10,0.02,,,,,
0.032568457,8,2,350,25,0.0002,,,,,
0.032578001,4,4,250,80,0.04,,,,,
0.032613584,2,4,400,150,0.004,,,,,
0.032634284,4,4,400,150,0.0002,,,,,
0.032651634,4,4,150,200,0.01,,,,,
0.03268484,6,2,50,50,0.002,,,,,
0.032687196,4,4,25,50,0.02,,,,,
0.032687373,4,2,10,100,0.04,,,,,
0.032690538,6,4,25,200,0.004,,,,,
