Time:,3:40:56.204946,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.0482343205132865,8,2,356,2,0.09208561193207884
0.046394150463640385,8,4,356,13,0.08472706706106078
0.07100048787418475,8,10,51,192,0.08302232135192361
0.03850440632957655,4,2,231,182,0.03988419124280282
0.044748439416544744,4,10,157,127,0.04138163010510684
0.0387046465119702,4,8,86,258,0.038283945962448836
0.03519884010714561,4,2,329,97,0.03668343667431818
0.1629611483287371,4,10,359,107,0.03520294004453036
0.04544905400893075,4,2,269,160,0.04313732605578226
0.029207422771960572,4,10,60,199,0.04478529074670538
0.0886503166309196,4,2,95,294,0.04594637778747893
0.04059920141113828,10,2,203,68,0.07975187320012685
0.06941352405602683,10,8,358,50,0.07821544205585092
